#HEADER,2017-06-01 12:42:53, Logfile newly created as 'background-darkness-CPM.log'
#LOGGING with cycle 3.0 sec, and mode 'CPM', using device 'GMC-300E Plus v4.20'
    586,2017-06-01 13:12:23, 19
    587,2017-06-01 13:12:26, 20
    588,2017-06-01 13:12:29, 18
    589,2017-06-01 13:12:32, 20
    590,2017-06-01 13:12:35, 20
    591,2017-06-01 13:12:38, 21
    592,2017-06-01 13:12:41, 24
    593,2017-06-01 13:12:44, 25
    594,2017-06-01 13:12:47, 24
    595,2017-06-01 13:12:50, 25
    596,2017-06-01 13:12:53, 26
    597,2017-06-01 13:12:56, 28
    598,2017-06-01 13:12:59, 29
    599,2017-06-01 13:13:02, 29
    600,2017-06-01 13:13:05, 30
    601,2017-06-01 13:13:08, 29
    602,2017-06-01 13:13:11, 30
    603,2017-06-01 13:13:14, 28
    604,2017-06-01 13:13:17, 27
    605,2017-06-01 13:13:20, 27
    606,2017-06-01 13:13:23, 26
    607,2017-06-01 13:13:26, 24
    608,2017-06-01 13:13:29, 23
    609,2017-06-01 13:13:32, 21
    610,2017-06-01 13:13:35, 23
    611,2017-06-01 13:13:38, 21
    612,2017-06-01 13:13:41, 19
    613,2017-06-01 13:13:44, 18
    614,2017-06-01 13:13:47, 20
    615,2017-06-01 13:13:50, 20
    616,2017-06-01 13:13:53, 19
    617,2017-06-01 13:13:56, 19
    618,2017-06-01 13:13:59, 18
    619,2017-06-01 13:14:02, 18
    620,2017-06-01 13:14:05, 19
    621,2017-06-01 13:14:08, 22
    622,2017-06-01 13:14:11, 21
    623,2017-06-01 13:14:14, 22
    624,2017-06-01 13:14:17, 20
    625,2017-06-01 13:14:20, 23
    626,2017-06-01 13:14:23, 22
    627,2017-06-01 13:14:26, 23
    628,2017-06-01 13:14:29, 23
    629,2017-06-01 13:14:32, 23
    630,2017-06-01 13:14:35, 21
    631,2017-06-01 13:14:38, 21
    632,2017-06-01 13:14:41, 21
    633,2017-06-01 13:14:44, 20
    634,2017-06-01 13:14:47, 18
    635,2017-06-01 13:14:50, 19
    636,2017-06-01 13:14:53, 19
    637,2017-06-01 13:14:56, 18
    638,2017-06-01 13:14:59, 18
    639,2017-06-01 13:15:02, 21
    640,2017-06-01 13:15:05, 21
    641,2017-06-01 13:15:08, 20
    642,2017-06-01 13:15:11, 20
    643,2017-06-01 13:15:14, 19
    644,2017-06-01 13:15:17, 21
    645,2017-06-01 13:15:20, 20
    646,2017-06-01 13:15:23, 21
    647,2017-06-01 13:15:26, 25
    648,2017-06-01 13:15:29, 27
    649,2017-06-01 13:15:32, 26
    650,2017-06-01 13:15:35, 26
    651,2017-06-01 13:15:38, 26
    652,2017-06-01 13:15:41, 27
    653,2017-06-01 13:15:44, 25
    654,2017-06-01 13:15:47, 25
    655,2017-06-01 13:15:50, 22
    656,2017-06-01 13:15:53, 22
    657,2017-06-01 13:15:56, 22
    658,2017-06-01 13:15:59, 22
    659,2017-06-01 13:16:02, 19
    660,2017-06-01 13:16:05, 18
    661,2017-06-01 13:16:08, 16
    662,2017-06-01 13:16:11, 16
    663,2017-06-01 13:16:14, 18
    664,2017-06-01 13:16:17, 16
    665,2017-06-01 13:16:20, 16
    666,2017-06-01 13:16:23, 14
    667,2017-06-01 13:16:26, 10
    668,2017-06-01 13:16:29, 7
    669,2017-06-01 13:16:32, 11
    670,2017-06-01 13:16:35, 11
    671,2017-06-01 13:16:38, 11
    672,2017-06-01 13:16:41, 12
    673,2017-06-01 13:16:44, 12
    674,2017-06-01 13:16:47, 12
    675,2017-06-01 13:16:50, 14
    676,2017-06-01 13:16:53, 14
    677,2017-06-01 13:16:56, 13
    678,2017-06-01 13:16:59, 14
    679,2017-06-01 13:17:02, 15
    680,2017-06-01 13:17:05, 17
    681,2017-06-01 13:17:08, 21
    682,2017-06-01 13:17:11, 20
    683,2017-06-01 13:17:14, 22
    684,2017-06-01 13:17:17, 22
    685,2017-06-01 13:17:20, 22
    686,2017-06-01 13:17:23, 22
    687,2017-06-01 13:17:26, 22
    688,2017-06-01 13:17:29, 22
    689,2017-06-01 13:17:32, 19
    690,2017-06-01 13:17:35, 20
    691,2017-06-01 13:17:38, 20
    692,2017-06-01 13:17:41, 18
    693,2017-06-01 13:17:44, 20
    694,2017-06-01 13:17:47, 23
    695,2017-06-01 13:17:50, 23
    696,2017-06-01 13:17:53, 23
    697,2017-06-01 13:17:56, 25
    698,2017-06-01 13:17:59, 24
    699,2017-06-01 13:18:02, 25
    700,2017-06-01 13:18:05, 22
    701,2017-06-01 13:18:08, 20
    702,2017-06-01 13:18:11, 20
    703,2017-06-01 13:18:14, 17
    704,2017-06-01 13:18:17, 17
